index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,mse,mae,rmse,r2,
0,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,12.559942841529846,3.2021816968917847,3.4905269145965576,-2.7678884863853455,
1,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,2.2275051921606064,1.3080839961767197,1.4666151106357574,-0.6430826783180237,
2,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,2.02640999853611,1.1467772424221039,1.365019902586937,-0.5831180512905121,
3,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,3.328281667549163,1.3449631836265326,1.5280055366456509,-0.5983521938323975,
4,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,8.387642830610275,2.315983325242996,2.5464814603328705,-7.909809917211533,
5,1e-05,1e-05,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,1.381026953458786,1.041971579194069,1.1408212035894394,-2.6249903589487076,
6,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,8.474413990974426,2.355136513710022,2.8342528343200684,-0.4138515144586563,
7,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,2.2275051921606064,1.3080839961767197,1.4666151106357574,-0.6430826783180237,
8,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),32,1,True,2.592003285884857,1.2604483515024185,1.4981647282838821,-5.526022553443909,
9,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),32,2,True,3.430380344390869,1.3393650874495506,1.5039379820227623,-0.6256261318922043,
10,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),64,1,True,8.352357357740402,2.3137051165103912,2.5428633391857147,-7.9606331288814545,
11,1e-05,1e-05,500,None,cpu,False,False,0.5,MSELoss(),64,2,True,1.9980609565973282,1.2283934354782104,1.370845839381218,-4.152180060744286,
12,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),16,1,True,7.420694589614868,2.130927622318268,2.6204521656036377,-0.77582648396492,
13,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),16,2,True,3.366117000579834,1.549609586596489,1.7412332445383072,-24.043961003422737,
14,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),32,1,True,2.02640999853611,1.1467772424221039,1.365019902586937,-0.5831180512905121,
15,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),32,2,True,3.328281667549163,1.3449631836265326,1.5280055366456509,-0.5983521938323975,
16,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),64,1,True,8.087182819843292,2.2511975914239883,2.4559058845043182,-8.73444339632988,
17,1e-05,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),64,2,True,1.381026953458786,1.041971579194069,1.1408212035894394,-2.6249903589487076,
18,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),16,1,True,6.513992428779602,1.8947020769119263,2.430015951395035,-1.9373549222946167,
19,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),16,2,True,4.567683532834053,1.793459728360176,1.9903186559677124,-961.7508973032236,
20,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),32,1,True,2.768150247633457,1.3160576522350311,1.5355212986469269,-7.194606527686119,
21,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),32,2,True,3.7063207775354385,1.3629482686519623,1.5353492498397827,-0.6365886479616165,
22,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),64,1,True,9.551486909389496,2.4173906594514847,2.6058766543865204,-11.419223546981812,
23,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),64,2,True,3.125795066356659,1.523334190249443,1.6713582575321198,-2.974551498889923,
24,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,8.474955916404724,2.3551981449127197,2.834297835826874,-0.414046511054039,
25,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,2.222940906882286,1.307072713971138,1.4651965349912643,-0.643766313791275,
26,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,2.0265606492757797,1.146799847483635,1.365053117275238,-0.5830430835485458,
27,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,3.3282717331312597,1.3449662923812866,1.5280144475400448,-0.5984001457691193,
28,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,8.384968012571335,2.3157070875167847,2.5462473332881927,-7.902221918106079,
29,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,1.381012201309204,1.0420778095722198,1.1407654285430908,-2.5999676883220673,
30,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,8.474955916404724,2.3551981449127197,2.834297835826874,-0.414046511054039,
31,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,2.222940906882286,1.307072713971138,1.4651965349912643,-0.643766313791275,
32,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),32,1,True,2.5951050966978073,1.261227235198021,1.4990290701389313,-5.504114657640457,
33,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),32,2,True,3.4245454370975494,1.338719666004181,1.503099448978901,-0.6280632168054581,
34,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),64,1,True,8.347779482603073,2.3132094144821167,2.542432874441147,-7.94796347618103,
35,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),64,2,True,1.9972291439771652,1.2279922366142273,1.370277315378189,-4.136688470840454,
36,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),16,1,True,7.419276535511017,2.130846381187439,2.6202422380447388,-0.7760463207960129,
37,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),16,2,True,3.3691268116235733,1.5501275211572647,1.7417487055063248,-24.37656456232071,
38,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),32,1,True,2.0265606492757797,1.146799847483635,1.365053117275238,-0.5830430835485458,
39,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),32,2,True,3.3282717331312597,1.3449662923812866,1.5280144475400448,-0.5984001457691193,
40,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),64,1,True,8.110576122999191,2.255851686000824,2.463140368461609,-8.738128870725632,
41,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),64,2,True,1.381012201309204,1.0420778095722198,1.1407654285430908,-2.5999676883220673,
42,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),16,1,True,6.510198354721069,1.8943296372890472,2.4292858242988586,-1.938545122742653,
43,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),16,2,True,4.571451649069786,1.7938921451568604,1.9908003211021423,-891.4199499934912,
44,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),32,1,True,2.795741342008114,1.3220477551221848,1.5422645807266235,-6.800480619072914,
45,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),32,2,True,3.6908844709396362,1.361508846282959,1.533309981226921,-0.6424688100814819,
46,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),64,1,True,9.693332940340042,2.4361929893493652,2.6139447689056396,-12.019245117902756,
47,1e-05,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),64,2,True,3.0442242175340652,1.511111542582512,1.6554280817508698,-3.4680328369140625,
48,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,8.491067051887512,2.3569015860557556,2.836352229118347,-0.41557006537914276,
49,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,2.221681907773018,1.3067604452371597,1.4648032784461975,-0.6440074890851974,
50,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,2.0319231748580933,1.1481137871742249,1.3663953393697739,-0.581826239824295,
51,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,3.3284378801472485,1.3450112249702215,1.5280593186616898,-0.5983144193887711,
52,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,8.384190648794174,2.3156386017799377,2.5461475551128387,-7.8958840072155,
53,1e-05,0.001,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,1.3874390125274658,1.0449993014335632,1.1443049311637878,-2.61137355864048,
54,1e-05,0.001,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,8.491067051887512,2.3569015860557556,2.836352229118347,-0.41557006537914276,
55,1e-05,0.001,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,2.221681907773018,1.3067604452371597,1.4648032784461975,-0.6440074890851974,
