index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,accuracy,f1-score
50,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.5625,0.45,
51,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.625,0.41666666666666663,
52,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.5,0.5166666666666666,
53,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.75,0.7,
54,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6875,0.6666666666666666,
55,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.8166666666666667,
56,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
57,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
58,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.8125,0.7916666666666666,
59,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.8125,0.7833333333333333,
60,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6875,0.6666666666666666,
61,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.6875,0.6583333333333333,
62,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
63,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
64,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
65,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
66,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6875,0.6666666666666666,
67,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.7499999999999999,
68,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.75,0.7083333333333333,
69,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
70,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.8125,0.7499999999999999,
71,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
72,1e-05,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.4375,0.42500000000000004,
73,1e-05,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
74,1e-05,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.5625,0.5833333333333333,
75,1e-05,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.5,0.4916666666666667,
76,1e-05,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.5625,0.5833333333333333,
77,1e-05,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.75,0.7416666666666667,
78,1e-05,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.375,0.35,
79,1e-05,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
80,1e-05,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.5625,0.5833333333333333,
81,1e-05,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.5625,0.4916666666666667,
82,1e-05,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.5,0.5166666666666666,
83,1e-05,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.6875,0.6583333333333333,
84,1e-05,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.4375,0.3916666666666666,
85,1e-05,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
86,1e-05,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.5625,0.45,
87,1e-05,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.625,0.41666666666666663,
