index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,accuracy,f1-score
0,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.35416666666666663,0.21428571428571427,
1,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5833333333333333,0.16666666666666666,
2,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.35416666666666663,0.39166666666666666,
3,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.5,0.6059523809523809,
4,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.6666666666666666,0.575,
5,1e-05,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
6,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.41666666666666663,0.45833333333333326,
7,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
8,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.41666666666666663,0.42500000000000004,
9,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.6458333333333333,0.5166666666666666,
10,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.6666666666666666,0.575,
11,1e-05,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
12,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.35416666666666663,0.39166666666666666,
13,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
14,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.35416666666666663,0.325,
15,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.7083333333333333,0.5416666666666666,
16,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.5833333333333333,0.325,
17,1e-05,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
18,1e-05,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6458333333333334,0.575,
19,1e-05,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.875,
20,1e-05,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.7916666666666666,0.625,
21,1e-05,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.7916666666666666,0.625,
22,1e-05,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.7291666666666666,0.775,
23,1e-05,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
24,1e-05,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.5833333333333334,0.5,
25,1e-05,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.7916666666666666,0.625,
26,1e-05,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.7916666666666666,0.625,
27,1e-05,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.7916666666666666,0.625,
28,1e-05,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.6458333333333333,0.525,
29,1e-05,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
30,1e-05,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6666666666666666,0.5,
31,1e-05,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.6458333333333333,0.4916666666666667,
32,1e-05,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.7916666666666666,0.625,
33,1e-05,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.7916666666666666,0.625,
34,1e-05,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.6458333333333333,0.525,
35,1e-05,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
36,1e-05,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.41666666666666663,0.45833333333333326,
37,1e-05,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5833333333333333,0.16666666666666666,
38,1e-05,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.35416666666666663,0.39166666666666666,
39,1e-05,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.5,0.6059523809523809,
40,1e-05,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.6666666666666666,0.575,
41,1e-05,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
42,1e-05,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.41666666666666663,0.45833333333333326,
43,1e-05,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
44,1e-05,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.41666666666666663,0.42500000000000004,
45,1e-05,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.6458333333333333,0.5166666666666666,
46,1e-05,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.6666666666666666,0.575,
47,1e-05,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
48,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.35416666666666663,0.39166666666666666,
49,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.5,0.0,
50,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.35416666666666663,0.325,
51,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.7083333333333333,0.5416666666666666,
52,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.5833333333333333,0.325,
53,1e-05,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
54,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6458333333333334,0.575,
55,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.875,
56,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.7916666666666666,0.625,
57,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.7916666666666666,0.625,
58,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.6458333333333333,0.525,
59,1e-05,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
60,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.5833333333333334,0.5,
61,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.7916666666666666,0.625,
62,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.7916666666666666,0.625,
63,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.7916666666666666,0.625,
64,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.6458333333333333,0.525,
65,1e-05,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.7916666666666666,0.625,
66,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.6666666666666666,0.5,
67,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.6458333333333333,0.4916666666666667,
68,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.7916666666666666,0.625,
69,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.7916666666666666,0.625,
70,1e-05,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.6458333333333333,0.525,
