index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,mse,mae,rmse,r2,
21,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),32,2,True,14.59102487564087,3.231582283973694,3.8093363642692566,-13.029541432857513,
22,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),64,1,True,9.478283405303955,2.5495492815971375,3.0428686141967773,-18.73559182882309,
23,1e-05,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),64,2,True,16.740350008010864,3.445788025856018,4.029266953468323,-56.59181159734726,
24,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,25.478107213974,3.8896124362945557,4.661808609962463,-10.451974391937256,
25,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,17.672714948654175,3.9012521505355835,4.123750805854797,-6.819641530513763,
26,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,19.85360112786293,3.060632199048996,4.025726526975632,-10.328180491924286,
27,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.476358890533447,3.498587131500244,3.8956549167633057,-17.549692034721375,
28,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,10.374073386192322,2.8468973338603973,3.16722708940506,-18.991688519716263,
29,1e-05,0.0001,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,16.89220142364502,3.57798433303833,4.016541659832001,-18.822713375091553,
30,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,25.478107213974,3.8896124362945557,4.661808609962463,-10.451974391937256,
31,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,17.672714948654175,3.9012521505355835,4.123750805854797,-6.819641530513763,
32,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),32,1,True,19.85384002327919,3.10849329829216,4.018678516149521,-4.624198019504547,
33,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),32,2,True,15.476358890533447,3.498587131500244,3.8956549167633057,-17.549692034721375,
34,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),64,1,True,10.374073386192322,2.8468973338603973,3.16722708940506,-18.991688519716263,
35,1e-05,0.0001,500,None,cpu,False,False,0.5,MSELoss(),64,2,True,16.770723581314087,3.559885621070862,3.9997432827949524,-17.2619269490242,
36,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.78655970096588,3.747679054737091,4.444998025894165,-18.554955780506134,
37,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),16,2,True,15.751535058021545,3.667548894882202,3.893224835395813,-8.791346251964569,
38,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),32,1,True,19.923189729452133,3.0710162222385406,4.052707552909851,-10.359593212604523,
39,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.28254771232605,3.454776167869568,3.8741783499717712,-19.11652821302414,
40,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),64,1,True,9.574594378471375,2.6560829281806946,3.0543549060821533,-26.36369615793228,
41,1e-05,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),64,2,True,16.893497943878174,3.568264424800873,4.02079850435257,-20.04397940635681,
