Frame,Speed,X,Y,Changed Pixels
1,1.1839716647043539,557.3746397694524,215.8270893371758,66
2,0.5900654670233035,557.6303724928367,215.97421203438395,32
3,0.3867562470875919,557.8074712643678,215.89655172413794,11
4,0.10749208208044443,557.8530259365995,215.9250720461095,5
5,0.023434354108057408,557.8534482758621,215.9367816091954,1
6,0.041847281478227714,557.8481375358166,215.95702005730658,1
7,0.0,557.8481375358166,215.95702005730658,0
8,0.0,557.8481375358166,215.95702005730658,0
9,0.0,557.8481375358166,215.95702005730658,0
10,0.0,557.8481375358166,215.95702005730658,0
11,0.0,557.8481375358166,215.95702005730658,0
12,0.5465285890981908,557.8851540616247,215.68627450980392,20
13,0.10153592605321583,557.9011299435028,215.73446327683615,5
14,0.4099710671042921,557.7746478873239,215.89577464788732,5
15,0.23415208841899515,557.7429378531074,216.0084745762712,5
16,0.12256124467389315,557.7840909090909,215.9630681818182,2
17,0.057845098743226186,557.7606837606837,215.980056980057,1
18,0.056980056980137306,557.7891737891738,215.980056980057,2
19,0.0,557.7891737891738,215.980056980057,0
20,0.0,557.7891737891738,215.980056980057,0
21,0.0,557.7891737891738,215.980056980057,0
22,0.0,557.7891737891738,215.980056980057,0
23,0.13276128488454766,557.8228571428572,215.92285714285714,1
24,0.7121862747838447,557.498599439776,216.07002801120447,23
25,0.04753659033192887,557.4817927170868,216.0532212885154,2
26,0.11295278179634932,557.5224719101124,216.01404494382024,1
27,0.06698244315622517,557.5098591549296,216.04507042253522,1
28,0.0,557.5098591549296,216.04507042253522,0
29,0.06698244315622517,557.5224719101124,216.01404494382024,1
30,0.0,557.5224719101124,216.01404494382024,0
31,0.0,557.5224719101124,216.01404494382024,0
32,0.09815572970616886,557.5605633802817,215.9830985915493,1
33,0.0,557.5605633802817,215.9830985915493,0
34,0.0,557.5605633802817,215.9830985915493,0
35,0.0,557.5605633802817,215.9830985915493,0
36,0.4712835612987377,557.3631284916202,216.11173184357543,9
37,0.13293565603762783,557.4033613445379,216.05882352941177,1
38,0.12745548518920735,557.4619718309859,216.0338028169014,2
39,0.09280777504554055,557.4378531073446,216.07344632768363,1
40,0.0,557.4378531073446,216.07344632768363,0
41,0.0,557.4378531073446,216.07344632768363,0
42,0.09380521212185514,557.4788732394367,216.05070422535212,1
43,0.13397593520179832,557.438202247191,216.10393258426967,1
44,0.0,557.438202247191,216.10393258426967,0
45,0.12654906388190992,557.3798882681564,216.12849162011173,2
46,0.0,557.3798882681564,216.12849162011173,0
47,0.0,557.3798882681564,216.12849162011173,0
48,0.1161665607891785,557.3351800554017,216.09141274238226,13
49,0.15400446528692566,557.3463687150838,216.16759776536313,7
50,0.2988606833868388,557.4957983193277,216.16806722689077,9
51,0.01477978889424283,557.5028089887641,216.16573033707866,3
52,0.1544837755137092,557.4261838440111,216.15598885793872,5
53,0.07929495363577911,557.4265927977839,216.1163434903047,2
54,0.06677979892290045,557.4138888888889,216.1472222222222,1
55,0.059774715340893424,557.4357541899441,216.16759776536313,2
56,0.03200491391122742,557.4425770308123,216.18207282913164,1
57,0.0,557.4425770308123,216.18207282913164,0
58,0.0,557.4425770308123,216.18207282913164,0
59,0.0,557.4425770308123,216.18207282913164,0
60,0.060960051162311575,557.4350282485875,216.15254237288136,11
61,0.2223586042761971,557.5371428571428,216.10857142857142,6
62,0.11095135907969501,557.5685714285714,216.06285714285715,2
63,0.06790539985821885,557.5811965811965,216.03133903133903,1
64,0.0,557.5811965811965,216.03133903133903,0
65,0.03231323643068593,557.5885714285714,216.0457142857143,1
66,0.0,557.5885714285714,216.0457142857143,0
67,0.252487024035967,557.5300859598854,216.15759312320918,3
68,0.0,557.5300859598854,216.15759312320918,0
69,0.09265940520371485,557.5114285714286,216.2,1
70,0.03033136623540791,557.5028409090909,216.1875,2
71,0.0,557.5028409090909,216.1875,0
72,0.33407836055339346,557.6095505617977,216.05898876404495,10
73,0.23831664396132027,557.6676056338029,215.95492957746478,5
74,0.5839580323837303,557.7068965517242,216.24425287356323,21
75,0.4782105219374931,557.5932203389831,216.03389830508473,26
76,0.05898478253616969,557.6214689265537,216.02542372881356,4
77,0.06721263980972848,557.6090651558073,216.05665722379604,1
78,0.14730878186969676,557.6373937677054,215.9886685552408,2
